open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volume,taker_quote_volume
2024-12-20 07:15:00+00:00,98039.83,98098.31,97900.0,97953.18,230.5803,2024-12-20 07:19:59.999000+00:00,22597148.8261118,37628.0,61.18635,5996673.7105375
2024-12-20 07:20:00+00:00,97953.19,98131.86,97900.03,98046.82,163.59076,2024-12-20 07:24:59.999000+00:00,16032541.4048881,45959.0,94.18808,9231010.2548038
2024-12-20 07:25:00+00:00,98046.81,98094.92,97908.63,98058.43,94.44204,2024-12-20 07:29:59.999000+00:00,9255238.507325,20122.0,38.38839,3761686.915526
2024-12-20 07:30:00+00:00,98058.43,98233.0,98029.25,98084.52,203.66726,2024-12-20 07:34:59.999000+00:00,19980948.9641022,28106.0,117.17173,11495136.3156611
2024-12-20 07:35:00+00:00,98084.52,98177.78,97966.38,98032.0,159.55604,2024-12-20 07:39:59.999000+00:00,15645982.2692679,32233.0,73.63769,7220947.464662
2024-12-20 07:40:00+00:00,98032.01,98120.43,97948.0,98064.0,120.36486,2024-12-20 07:44:59.999000+00:00,11796265.2681108,21826.0,78.14935,7658943.3287046
2024-12-20 07:45:00+00:00,98064.0,98118.14,97826.02,97969.69,175.66808,2024-12-20 07:49:59.999000+00:00,17205215.8075194,22982.0,69.2883,6787052.9195198
2024-12-20 07:50:00+00:00,97969.7,97974.92,97699.18,97721.16,287.02089,2024-12-20 07:54:59.999000+00:00,28058050.1726312,18422.0,153.52942,15005768.6430775
2024-12-20 07:55:00+00:00,97721.16,97837.45,97661.32,97832.53,140.68466,2024-12-20 07:59:59.999000+00:00,13752133.51877,19542.0,103.19298,10087340.6162265
2024-12-20 08:00:00+00:00,97832.52,97864.91,97535.83,97565.76,143.46728,2024-12-20 08:04:59.999000+00:00,14014694.5056312,23039.0,34.61418,3381943.8143783
2024-12-20 08:05:00+00:00,97565.76,97615.3,97094.38,97228.04,153.04022,2024-12-20 08:09:59.999000+00:00,14896972.8726361,32849.0,67.12136,6533437.8426143
2024-12-20 08:10:00+00:00,97228.03,97303.04,97016.02,97129.36,140.43232,2024-12-20 08:14:59.999000+00:00,13640136.8738871,40319.0,59.15832,5746336.2472633
2024-12-20 08:15:00+00:00,97129.36,97161.02,96819.68,96882.16,238.11165,2024-12-20 08:19:59.999000+00:00,23079602.9689664,43870.0,83.14729,8058931.9867673
2024-12-20 08:20:00+00:00,96882.17,97102.33,96722.85,96826.32,223.5289,2024-12-20 08:24:59.999000+00:00,21654497.5276118,60063.0,84.81903,8217563.1003755
2024-12-20 08:25:00+00:00,96826.31,96955.14,96621.0,96640.49,154.39146,2024-12-20 08:29:59.999000+00:00,14937523.266011,43023.0,58.03662,5615476.8610161
2024-12-20 08:30:00+00:00,96640.5,96795.81,96501.34,96688.78,303.34303,2024-12-20 08:34:59.999000+00:00,29315270.1965187,53279.0,130.17227,12579878.7478932
2024-12-20 08:35:00+00:00,96688.77,96727.5,96124.91,96170.44,366.65187,2024-12-20 08:39:59.999000+00:00,35333141.317053,50601.0,124.40387,11991326.5855204
2024-12-20 08:40:00+00:00,96170.44,96257.6,95847.8,96050.44,416.13612,2024-12-20 08:44:59.999000+00:00,39967874.3635987,66804.0,162.67884,15626289.7989019
2024-12-20 08:45:00+00:00,96050.45,96114.69,95555.01,95724.0,484.84886,2024-12-20 08:49:59.999000+00:00,46447196.7539046,66087.0,186.59353,17876409.3217429
2024-12-20 08:50:00+00:00,95724.0,95818.17,95300.0,95374.77,437.33542,2024-12-20 08:54:59.999000+00:00,41760989.7009506,54377.0,166.30649,15887801.4386133
2024-12-20 08:55:00+00:00,95374.76,95554.29,95300.69,95473.74,376.36391,2024-12-20 08:59:59.999000+00:00,35908924.5253512,48289.0,165.11907,15754904.3581233
2024-12-20 09:00:00+00:00,95473.74,95738.79,95197.18,95325.37,481.13657,2024-12-20 09:04:59.999000+00:00,45920044.1016085,70527.0,248.55461,23726689.9765367
2024-12-20 09:05:00+00:00,95325.37,95436.32,95051.0,95054.39,407.55365,2024-12-20 09:09:59.999000+00:00,38823427.7012371,67156.0,162.52339,15487193.6584579
2024-12-20 09:10:00+00:00,95054.39,95412.32,95007.32,95080.15,498.4897,2024-12-20 09:14:59.999000+00:00,47420847.9856275,57471.0,244.77966,23284987.1621709
2024-12-20 09:15:00+00:00,95080.16,95456.04,95057.01,95456.03,462.70344,2024-12-20 09:19:59.999000+00:00,44071869.5915695,56889.0,255.14759,24303591.5405409
2024-12-20 09:20:00+00:00,95456.03,95665.88,95288.0,95317.49,217.62868,2024-12-20 09:24:59.999000+00:00,20775531.7226068,50517.0,136.62267,13042880.9031878
2024-12-20 09:25:00+00:00,95317.49,95396.55,95100.01,95174.13,288.41271,2024-12-20 09:29:59.999000+00:00,27470424.4081621,41782.0,95.67259,9111156.4879631
2024-12-20 09:30:00+00:00,95174.13,95638.93,95159.3,95565.37,319.69262,2024-12-20 09:34:59.999000+00:00,30490840.5708196,53132.0,202.39202,19301592.242466
2024-12-20 09:35:00+00:00,95565.36,95700.0,95162.0,95227.71,369.36739,2024-12-20 09:39:59.999000+00:00,35235258.0084588,45698.0,145.07862,13835392.5402261
2024-12-20 09:40:00+00:00,95227.71,95296.93,95121.22,95140.01,114.86639,2024-12-20 09:44:59.999000+00:00,10933493.2477014,23286.0,56.40933,5369132.734342
2024-12-20 09:45:00+00:00,95140.0,95246.61,94777.0,94780.79,631.31382,2024-12-20 09:49:59.999000+00:00,59965328.2239757,46776.0,175.4296,16663123.3299246
2024-12-20 09:50:00+00:00,94780.8,95265.21,94682.27,95038.8,486.52496,2024-12-20 09:54:59.999000+00:00,46188417.707678,46693.0,289.03155,27447195.8726648
2024-12-20 09:55:00+00:00,95038.81,95065.0,94722.64,94811.85,236.82176,2024-12-20 09:59:59.999000+00:00,22468723.9050339,31470.0,117.45446,11144394.6863639
2024-12-20 10:00:00+00:00,94811.85,94971.52,94678.04,94699.39,317.69318,2024-12-20 10:04:59.999000+00:00,30128125.6096323,37165.0,145.13963,13765404.4921056
2024-12-20 10:05:00+00:00,94699.4,94739.08,94518.45,94555.74,332.88608,2024-12-20 10:09:59.999000+00:00,31497082.9439973,38764.0,111.62082,10562065.4579441
2024-12-20 10:10:00+00:00,94555.34,94642.84,94000.0,94002.85,1042.98396,2024-12-20 10:14:59.999000+00:00,98349724.5852265,61459.0,226.30874,21345271.0622602
2024-12-20 10:15:00+00:00,94004.02,94821.92,94000.02,94702.01,821.20875,2024-12-20 10:19:59.999000+00:00,77610214.8173558,49843.0,468.48558,44274809.6585636
2024-12-20 10:20:00+00:00,94702.0,94961.86,94288.0,94460.76,502.97424,2024-12-20 10:24:59.999000+00:00,47615894.0961608,49853.0,229.15997,21700529.9949112
2024-12-20 10:25:00+00:00,94460.75,95000.0,94352.13,94722.01,384.07528,2024-12-20 10:29:59.999000+00:00,36374554.1583022,38908.0,202.17223,19146785.1989858
2024-12-20 10:30:00+00:00,94722.01,94864.55,94444.0,94563.84,265.14746,2024-12-20 10:34:59.999000+00:00,25084766.1312605,35428.0,124.04171,11736487.3486012
2024-12-20 10:35:00+00:00,94563.83,94902.73,94369.0,94900.0,242.92277,2024-12-20 10:39:59.999000+00:00,22986397.7882436,30626.0,148.29652,14038100.8968453
2024-12-20 10:40:00+00:00,94899.99,95114.71,94795.37,94971.98,232.46753,2024-12-20 10:44:59.999000+00:00,22085035.1879561,27229.0,114.12853,10842399.4947081
2024-12-20 10:45:00+00:00,94971.98,95056.0,94698.46,94720.87,161.8694,2024-12-20 10:49:59.999000+00:00,15352127.369916,23339.0,68.79104,6524623.5708873
2024-12-20 10:50:00+00:00,94720.86,94747.84,94488.35,94488.35,216.60812,2024-12-20 10:54:59.999000+00:00,20489674.1650397,21293.0,74.80631,7074635.2765003
2024-12-20 10:55:00+00:00,94488.36,94572.1,94300.0,94359.53,238.97464,2024-12-20 10:59:59.999000+00:00,22565547.5002872,21302.0,103.74892,9798313.2169174
2024-12-20 11:00:00+00:00,94359.54,94436.0,94095.01,94336.34,448.27935,2024-12-20 11:04:59.999000+00:00,42244002.8848769,34528.0,246.41761,23223872.3476797
2024-12-20 11:05:00+00:00,94333.92,94749.92,94312.0,94609.9,333.23254,2024-12-20 11:09:59.999000+00:00,31500717.8131298,23834.0,228.00791,21556632.4006824
2024-12-20 11:10:00+00:00,94609.91,94629.48,94080.0,94080.01,210.06171,2024-12-20 11:14:59.999000+00:00,19813466.7102716,18713.0,66.5816,6282060.7161748
2024-12-20 11:15:00+00:00,94080.01,94312.0,94050.0,94141.45,217.45044,2024-12-20 11:19:59.999000+00:00,20474991.5915113,23735.0,103.63512,9758485.0599011
2024-12-20 11:20:00+00:00,94141.45,94183.07,93420.0,93757.59,788.82916,2024-12-20 11:24:59.999000+00:00,73970702.4684383,54328.0,275.87462,25858016.6096673
2024-12-20 11:25:00+00:00,93757.59,93757.59,93219.62,93636.0,533.73584,2024-12-20 11:29:59.999000+00:00,49844142.3106638,44977.0,238.37037,22261361.2547313
